0,0,0,0
1e-07,0,1e-07,0
1.44e-07,0,1.44e-07,0
2.44e-07,0,2.44e-07,0
2.88e-07,0,2.88e-07,0
3.88e-07,0,3.88e-07,0
4.32e-07,0,4.32e-07,0
5.32e-07,0,5.32e-07,0
5.76e-07,0,5.76e-07,0
6.76e-07,0,6.76e-07,0
7.2e-07,0,7.2e-07,0
8.2e-07,0,8.2e-07,0
8.64e-07,0,8.64e-07,0
9.64e-07,0,9.64e-07,0
1.008e-06,0,1.008e-06,0
1.108e-06,0,1.108e-06,0
1.152e-06,0,1.152e-06,0
1.252e-06,0,1.252e-06,0
1.296e-06,0,1.296e-06,0
1.396e-06,0,1.396e-06,0
1.44e-06,0,1.44e-06,0
1.54e-06,0,1.54e-06,0
1.584e-06,0,1.584e-06,0
1.684e-06,0,1.684e-06,0
1.728e-06,0,1.728e-06,0
1.828e-06,0,1.828e-06,0
1.872e-06,0,1.872e-06,0
1.972e-06,0,1.972e-06,0
2.016e-06,0,2.016e-06,0
2.116e-06,0,2.116e-06,0
2.16e-06,0,2.16e-06,0
2.26e-06,0,2.26e-06,0
2.304e-06,0,2.304e-06,0
2.404e-06,0,2.404e-06,0
2.448e-06,0,2.448e-06,0
2.548e-06,0,2.548e-06,0
2.592e-06,0,2.592e-06,0
2.692e-06,0,2.692e-06,0
2.736e-06,0,2.736e-06,0
2.836e-06,0,2.836e-06,0
2.88e-06,0,2.88e-06,0
2.98e-06,0,2.98e-06,0
3.024e-06,0,3.024e-06,0
3.124e-06,0,3.124e-06,0
3.168e-06,0,3.168e-06,0
3.268e-06,0,3.268e-06,0
3.312e-06,0,3.312e-06,0
3.412e-06,0,3.412e-06,0
3.456e-06,0,3.456e-06,0
3.556e-06,0,3.556e-06,0
3.6e-06,0,3.6e-06,0
3.7e-06,0,3.7e-06,0
3.744e-06,0,3.744e-06,0
3.844e-06,0,3.844e-06,0
3.888e-06,0,3.888e-06,0
3.988e-06,0,3.988e-06,0
4.032e-06,0,4.032e-06,0
4.132e-06,0,4.132e-06,0
4.176e-06,0,4.176e-06,0
4.276e-06,0,4.276e-06,0
4.32e-06,0,4.32e-06,0
4.42e-06,0,4.42e-06,0
4.464e-06,0,4.464e-06,0
4.564e-06,0,4.564e-06,0
4.608e-06,0,4.608e-06,0
4.708e-06,0,4.708e-06,0
4.752e-06,0,4.752e-06,0
4.852e-06,0,4.852e-06,0
4.896e-06,0,4.896e-06,0
4.996e-06,0,4.996e-06,0
5.04e-06,0,5.04e-06,0
5.14e-06,0,5.14e-06,0
5.184e-06,0,5.184e-06,0
5.284e-06,0,5.284e-06,0
5.328e-06,0,5.328e-06,0
5.428e-06,0,5.428e-06,0
5.472e-06,0,5.472e-06,0
5.572e-06,0,5.572e-06,0
5.616e-06,0,5.616e-06,0
5.716e-06,0,5.716e-06,0
5.76e-06,0,5.76e-06,0
5.86e-06,0,5.86e-06,0
5.904e-06,0,5.904e-06,0
6.004e-06,0,6.004e-06,0
6.048e-06,0,6.048e-06,0
6.148e-06,0,6.148e-06,0
6.192e-06,0,6.192e-06,0
6.292e-06,0,6.292e-06,0
6.336e-06,0,6.336e-06,0
6.436e-06,0,6.436e-06,0
6.48e-06,0,6.48e-06,0
6.58e-06,0,6.58e-06,0
6.624e-06,0,6.624e-06,0
6.724e-06,0,6.724e-06,0
6.768e-06,0,6.768e-06,0
6.868e-06,0,6.868e-06,0
6.912e-06,0,6.912e-06,0
7.012e-06,0,7.012e-06,0
7.056e-06,0,7.056e-06,0
7.156e-06,0,7.156e-06,0
7.2e-06,0,7.2e-06,0
7.3e-06,0,7.3e-06,0
7.344e-06,0,7.344e-06,0
7.444e-06,0,7.444e-06,0
7.488e-06,0,7.488e-06,0
7.588e-06,0,7.588e-06,0
7.632e-06,0,7.632e-06,0
7.732e-06,0,7.732e-06,0
7.776e-06,0,7.776e-06,0
7.876e-06,0,7.876e-06,0
7.92e-06,0,7.92e-06,0
8.02e-06,0,8.02e-06,0
8.064e-06,0,8.064e-06,0
8.164e-06,0,8.164e-06,0
8.208e-06,0,8.208e-06,0
8.308e-06,0,8.308e-06,0
8.352e-06,0,8.352e-06,0
8.452e-06,0,8.452e-06,0
8.496e-06,0,8.496e-06,0
